Country, Country Code, Network, Outbound Message Costs
,,BSNL - North East India,0.8
,,BSNL - Orissa,0.8
,,BSNL - Punjab,0.8
,,BSNL - Rajastan,0.8
,,BSNL - TamilNadu,0.8
,,BSNL - Uttar Pradesh East,0.8
,,BSNL - Uttar Pradesh West,0.8
,,BSNL - West Bengal An.Ni.,0.8
,,Communications - Mumbai,0.8
,,Dishnet Wireless Ltd. - Assam,0.8
,,Dishnet Wireless Ltd. - Bihar & Jharkhand,0.8
,,Dishnet Wireless Ltd. - Himachal Pradesh,0.8
,,Dishnet Wireless Ltd. - Jammu & Kashmir,0.8
,,Dishnet Wireless Ltd. - North East India,0.8
,,Dishnet Wireless Ltd. - Orissa,0.8
,,Dishnet Wireless Ltd. - West Bengal An.Ni.,0.8
,,Escorts Coms - Himachal Pradesh,0.8
,,Escorts Coms - Rajasthan,0.8
,,Escorts Coms - Uttar Pradesh East,0.8
,,Fascel - Gujarat,0.8
,,Hutchison Essar - Andhra Pradesh,0.8
,,Hutchison Essar - Chennai,0.8
,,Hutchison Essar - Delhi,0.8
,,Hutchison Essar - Karnataka,0.8
,,Hutchison Essar - Mumbai,0.8
,,Hutchison Essar - Punjab,0.8
,,Hutchison Essar - Uttar Pradesh West,0.8
,,Hutchison Telecom - Kolkata,0.8
,,Hutchison Telecom - West Bengal An.Ni.,0.8
,,Idea Cellular - Andhra Pradesh,0.8
,,Idea Cellular - Delhi,0.8
,,Idea Cellular - Gujarat,0.8
,,Idea Cellular - Madhya Pradesh,0.8
,,Idea Cellular - Maharashta,0.8
,,Idea Cellular - Uttar Pradesh West,0.8
,,Idea Mobile Communications - Haryana,0.8
,,Idea Mobile Communications - Kerala,0.8
,,MTNL - Delhi,0.8
,,MTNL - Mumbai,0.8
,,Reliance Internet Serv - Kolkata (CDMA),0.8
,,Reliance Telecom - Assam (CDMA),0.8
,,Reliance Telecom - Bihar & J(CDMA),0.8
,,Reliance Telecom - Himachal Pradesh (CDMA),0.8
,,Reliance Telecom - Madhya Pradesh (CDMA),0.8
,,Reliance Telecom - North East (CDMA),0.8
,,Reliance Telecom - Orissa (CDMA),0.8
,,Reliance Telecom - West Bengal An.Ni. (CDMA),0.8
,,Spice Communications - Karnataka,0.8
,,Spice Communications - Punjab,0.8
,,Tata Teleservices (CDMA),0.8
,,Unallocated Prefixes,0.8
Indonesia,62,,
,,ExcelCom,0.8
,,Hutchison CPT (Three),0.8
,,PT Indosat,0.8
,,PT Natrindo (Axis),0.8
,,TelkomSel,0.8
Iran,98,,
,,KFZO (TKC),0.8
,,MCI,0.8
,,MTCE (ITC),3
,,MTN (IranCell),1
,,"RIC (Coop,Taliya)",0.8
Iraq,964,,
,,AsiaCell,0.8
,,Korek Telecom,0.8
,,MobiTel,1.5
,,Zain,0.8
Ireland,353,,
,,Eircell (Vodafone),0.8
,,Hutchinson 3G,0.8
,,Meteor,0.8
,,"O2 (Esat Digifone, Tesco)",0.8
Isle of Man,44,,
,,Cable & Wireless,0.8
,,"O2 (Manx,Pronto)",0.8
Israel,972,,
,,Cellcom Israel Ltd,0.8
,,Mirs Comm,0.8
,,Orange (Partner),0.8
,,Pelephone Communications Ltd,0.8
Italy,39,,
,,TIM,1.5
,,TRE (H3G),0.8
,,Vodafone (Omnitel),1.5
,,WIND (BLU),1.5
Ivory Coast,225,,
,,Atlantique Cellulaire (Moov),0.8
,,Comium Ivory Coast Inc (KoZ),2.5
,,"MTN (Telecel, Loteny)",0.8
,,"Orange (SIM,Ivoiris)",0.8
Jamaica,1876,,
,,Cable & Wireless,0.8
,,Mossel (Digicel),0.8
,,Oceanic,1.5
Japan,81,,
,,KDDI,0.8
,,NTT DoCoMo,2.5
,,Softbank,0.8
,,Softbank (Vodafone),0.8
Jersey,44,,
